 ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ 
|                          Encoder statistics. This file is generated during first encoding session, new sessions will be appended                                                                                                                                                                                 |
 ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ 
|     ver     | Date  | Time  |               Sequence                 | #Img |P/MbInt| QPI| QPP| QPB| Format  |Iperiod| #B | FMES | Hdmd | S.R |#Ref | Freq |Coding|RD-opt|Intra upd|8x8Tr| SNRY 1| SNRU 1| SNRV 1| SNRY N| SNRU N| SNRV N|#Bitr I|#Bitr P|#Bitr B|#Bitr IPB|     Total Time   |      Me Time     |
| 19.0/(FRExt)| 18-Ma | 18:42 |meijlldmj/avc-steg/files/input_clean.y4m|   30 |  0/0  | 28 | 28 | 30 |1920x1080|    0  |  0 | EPZS |  022 |  32 |  4  | 30.00| CABAC|   1  |   OFF   |  1  | 49.903| 48.142| 46.790| 49.851| 46.965| 46.197| 144320|3353608|      0|  3498272|         101349   |          15867   |
| 19.0/(FRExt)| 18-Ma | 18:44 |meijlldmj/avc-steg/files/input_clean.y4m|   30 |  0/0  | 28 | 28 | 30 |1920x1080|    0  |  0 | EPZS |  022 |  32 |  4  | 30.00| CABAC|   1  |   OFF   |  1  | 49.903| 48.142| 46.790| 49.851| 46.965| 46.197| 144320|3353608|      0|  3498272|         102897   |          15989   |
| 19.0/(FRExt)| 18-Ma | 18:45 |meijlldmj/avc-steg/files/input_clean.y4m|   30 |  0/0  | 28 | 28 | 30 |1920x1080|    0  |  0 | EPZS |  022 |  32 |  4  | 30.00| CABAC|   1  |   OFF   |  1  | 49.903| 48.142| 46.790| 49.851| 46.965| 46.197| 144320|3353608|      0|  3498272|         101510   |          15732   |
| 19.0/(FRExt)| 18-Ma | 18:47 |meijlldmj/avc-steg/files/input_clean.y4m|   30 |  0/0  | 28 | 28 | 30 |1920x1080|    0  |  0 | EPZS |  022 |  32 |  4  | 30.00| CABAC|   1  |   OFF   |  1  | 49.903| 48.142| 46.790| 49.851| 46.965| 46.197| 144320|3353608|      0|  3498272|         100639   |          15793   |
| 19.0/(FRExt)| 18-Ma | 18:49 |meijlldmj/avc-steg/files/input_clean.y4m|   30 |  0/0  | 28 | 28 | 30 |1920x1080|    0  |  0 | EPZS |  022 |  32 |  4  | 30.00| CABAC|   1  |   OFF   |  1  | 49.903| 48.142| 46.790| 49.851| 46.965| 46.197| 144320|3353608|      0|  3498272|         101765   |          15889   |
| 19.0/(FRExt)| 18-Ma | 18:50 |meijlldmj/avc-steg/files/input_clean.y4m|   30 |  0/0  | 28 | 28 | 30 |1920x1080|    0  |  0 | EPZS |  022 |  32 |  4  | 30.00| CABAC|   1  |   OFF   |  1  | 49.903| 48.142| 46.790| 49.851| 46.965| 46.197| 144320|3353608|      0|  3498272|         101859   |          15738   |
| 19.0/(FRExt)| 18-Ma | 18:52 |meijlldmj/avc-steg/files/input_clean.y4m|   30 |  0/0  | 28 | 28 | 30 |1920x1080|    0  |  0 | EPZS |  022 |  32 |  4  | 30.00| CABAC|   1  |   OFF   |  1  | 49.903| 48.142| 46.790| 49.851| 46.965| 46.197| 144320|3353608|      0|  3498272|         101437   |          15955   |
| 19.0/(FRExt)| 18-Ma | 18:54 |meijlldmj/avc-steg/files/input_clean.y4m|   30 |  0/0  | 28 | 28 | 30 |1920x1080|    0  |  0 | EPZS |  022 |  32 |  4  | 30.00| CABAC|   1  |   OFF   |  1  | 49.903| 48.142| 46.790| 49.851| 46.965| 46.197| 144320|3353608|      0|  3498272|         102171   |          15782   |
| 19.0/(FRExt)| 18-Ma | 18:55 |meijlldmj/avc-steg/files/input_clean.y4m|   30 |  0/0  | 28 | 28 | 30 |1920x1080|    0  |  0 | EPZS |  022 |  32 |  4  | 30.00| CABAC|   1  |   OFF   |  1  | 49.903| 48.142| 46.790| 49.851| 46.965| 46.197| 144320|3353608|      0|  3498272|         101270   |          15641   |
| 19.0/(FRExt)| 18-Ma | 18:57 |meijlldmj/avc-steg/files/input_clean.y4m|   30 |  0/0  | 28 | 28 | 30 |1920x1080|    0  |  0 | EPZS |  022 |  32 |  4  | 30.00| CABAC|   1  |   OFF   |  1  | 49.903| 48.142| 46.790| 49.851| 46.965| 46.197| 144320|3353608|      0|  3498272|         100643   |          15759   |
